dataset,split,evaluation_role,gate_kind,diagnostic_name,tolerance,seed_scope,n_pairs,accepted_count,rejected_count,accept_rate,reliable_count,unreliable_count,false_accept_count,false_accept_rate_among_accepted,false_accept_fraction_all,false_reject_count,false_reject_rate_among_reliable,accepted_mae,rejected_mae,overall_mae
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.01,all,70,70,0,1.0,70,0,0,0.0,0.0,0,0.0,0.002234762199609625,,0.002234762199609625
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.01,20260826,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.00243576236530458,,0.00243576236530458
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.01,20260827,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.0020337620339146703,,0.0020337620339146703
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.02,all,70,70,0,1.0,70,0,0,0.0,0.0,0,0.0,0.002234762199609625,,0.002234762199609625
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.02,20260826,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.00243576236530458,,0.00243576236530458
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.02,20260827,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.0020337620339146703,,0.0020337620339146703
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.05,all,70,70,0,1.0,70,0,0,0.0,0.0,0,0.0,0.002234762199609625,,0.002234762199609625
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.05,20260826,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.00243576236530458,,0.00243576236530458
GSM8K,development,calibration,kl_baseline,tokenwise_kl_proxy,0.05,20260827,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.0020337620339146703,,0.0020337620339146703
GSM8K,development,calibration,primary_ress,median_prompt_relative_ess,0.01,all,70,70,0,1.0,70,0,0,0.0,0.0,0,0.0,0.002234762199609625,,0.002234762199609625
GSM8K,development,calibration,primary_ress,median_prompt_relative_ess,0.01,20260826,35,35,0,1.0,35,0,0,0.0,0.0,0,0.0,0.00243576236530458,,0.00243576236530458
