training_seed,behavior_step,target_step,overlap_band,gate_tolerance,estimate,online_reference,absolute_error,median_prompt_relative_ess,tokenwise_kl_proxy,gate_decision,gate_false_accept
20260826,0,300,low_overlap,0.01,0.16337842190393342,0.18509375,0.021715328096066577,0.1361394889424397,0.1542335670652272,accept,True
20260826,0,300,low_overlap,0.02,0.16337842190393342,0.18509375,0.021715328096066577,0.1361394889424397,0.1542335670652272,accept,True
20260826,0,300,low_overlap,0.05,0.16337842190393342,0.18509375,0.021715328096066577,0.1361394889424397,0.1542335670652272,accept,False
20260826,0,260,low_overlap,0.01,0.1592650369191123,0.174625,0.01535996308088769,0.1419039373513259,0.14500711176592015,accept,True
20260826,0,260,low_overlap,0.02,0.1592650369191123,0.174625,0.01535996308088769,0.1419039373513259,0.14500711176592015,accept,False
20260826,0,260,low_overlap,0.05,0.1592650369191123,0.174625,0.01535996308088769,0.1419039373513259,0.14500711176592015,accept,False
20260826,0,180,low_overlap,0.01,0.14904933782790186,0.16075,0.011700662172098142,0.15202284229473687,0.1138084379420976,accept,True
20260826,0,180,low_overlap,0.02,0.14904933782790186,0.16075,0.011700662172098142,0.15202284229473687,0.1138084379420976,accept,False
20260826,0,180,low_overlap,0.05,0.14904933782790186,0.16075,0.011700662172098142,0.15202284229473687,0.1138084379420976,accept,False
20260826,0,120,medium_overlap,0.01,0.14934641199052423,0.1485,0.0008464119905242373,0.1405711853407601,0.10168728376822879,accept,False
20260826,0,120,medium_overlap,0.02,0.14934641199052423,0.1485,0.0008464119905242373,0.1405711853407601,0.10168728376822879,accept,False
20260826,0,120,medium_overlap,0.05,0.14934641199052423,0.1485,0.0008464119905242373,0.1405711853407601,0.10168728376822879,accept,False
20260826,0,20,medium_overlap,0.01,0.1479995056321716,0.156625,0.00862549436782839,0.21652379006004635,0.032760750617999074,accept,False
20260826,0,20,medium_overlap,0.02,0.1479995056321716,0.156625,0.00862549436782839,0.21652379006004635,0.032760750617999074,accept,False
20260826,0,20,medium_overlap,0.05,0.1479995056321716,0.156625,0.00862549436782839,0.21652379006004635,0.032760750617999074,accept,False
20260826,200,260,high_overlap,0.01,0.1727815174968277,0.174625,0.001843482503172289,0.9492775265814817,0.006381366284821169,accept,False
20260826,200,260,high_overlap,0.02,0.1727815174968277,0.174625,0.001843482503172289,0.9492775265814817,0.006381366284821169,accept,False
20260826,200,260,high_overlap,0.05,0.1727815174968277,0.174625,0.001843482503172289,0.9492775265814817,0.006381366284821169,accept,False
20260826,100,120,high_overlap,0.01,0.147360109450121,0.1485,0.0011398905498789802,0.9793289110345786,0.0020729038185697767,accept,False
20260826,100,120,high_overlap,0.02,0.147360109450121,0.1485,0.0011398905498789802,0.9793289110345786,0.0020729038185697767,accept,False
20260826,100,120,high_overlap,0.05,0.147360109450121,0.1485,0.0011398905498789802,0.9793289110345786,0.0020729038185697767,accept,False
20260826,300,320,high_overlap,0.01,0.18345025513228091,0.18075,0.002700255132280921,0.9987912561079828,0.00016064216146408986,accept,False
20260826,300,320,high_overlap,0.02,0.18345025513228091,0.18075,0.002700255132280921,0.9987912561079828,0.00016064216146408986,accept,False
20260826,300,320,high_overlap,0.05,0.18345025513228091,0.18075,0.002700255132280921,0.9987912561079828,0.00016064216146408986,accept,False
20260827,0,300,low_overlap,0.01,0.14210537991363362,0.1378125,0.004292879913633613,0.13058310231981096,0.12025658829632783,accept,False
