dataset,split,training_seed,behavior_step,estimator,tolerance,last_reliable_target_step,horizon_steps,n_candidate_targets,n_reliable_targets
GSM8K,test,20260826,0,prompt_wis,0.01,400,400,8,8
GSM8K,test,20260826,0,prompt_wis,0.02,400,400,8,8
GSM8K,test,20260826,0,prompt_wis,0.050000000000000003,400,400,8,8
GSM8K,test,20260826,100,prompt_wis,0.01,160,60,1,1
GSM8K,test,20260826,100,prompt_wis,0.02,160,60,1,1
GSM8K,test,20260826,100,prompt_wis,0.050000000000000003,160,60,1,1
GSM8K,test,20260826,200,prompt_wis,0.01,260,60,1,1
GSM8K,test,20260826,200,prompt_wis,0.02,260,60,1,1
GSM8K,test,20260826,200,prompt_wis,0.050000000000000003,260,60,1,1
GSM8K,test,20260826,300,prompt_wis,0.01,360,60,1,1
GSM8K,test,20260826,300,prompt_wis,0.02,360,60,1,1
GSM8K,test,20260826,300,prompt_wis,0.050000000000000003,360,60,1,1
GSM8K,test,20260827,0,prompt_wis,0.01,160,160,8,3
GSM8K,test,20260827,0,prompt_wis,0.02,400,400,8,8
GSM8K,test,20260827,0,prompt_wis,0.050000000000000003,400,400,8,8
GSM8K,test,20260827,100,prompt_wis,0.01,160,60,1,1
GSM8K,test,20260827,100,prompt_wis,0.02,160,60,1,1
GSM8K,test,20260827,100,prompt_wis,0.050000000000000003,160,60,1,1
GSM8K,test,20260827,200,prompt_wis,0.01,260,60,1,1
GSM8K,test,20260827,200,prompt_wis,0.02,260,60,1,1
GSM8K,test,20260827,200,prompt_wis,0.050000000000000003,260,60,1,1
GSM8K,test,20260827,300,prompt_wis,0.01,360,60,1,1
GSM8K,test,20260827,300,prompt_wis,0.02,360,60,1,1
GSM8K,test,20260827,300,prompt_wis,0.050000000000000003,360,60,1,1
GSM8K,test,20260828,0,prompt_wis,0.01,400,400,8,8
GSM8K,test,20260828,0,prompt_wis,0.02,400,400,8,8
GSM8K,test,20260828,0,prompt_wis,0.050000000000000003,400,400,8,8
GSM8K,test,20260828,100,prompt_wis,0.01,160,60,1,1
GSM8K,test,20260828,100,prompt_wis,0.02,160,60,1,1
GSM8K,test,20260828,100,prompt_wis,0.050000000000000003,160,60,1,1
GSM8K,test,20260828,200,prompt_wis,0.01,260,60,1,1
GSM8K,test,20260828,200,prompt_wis,0.02,260,60,1,1
GSM8K,test,20260828,200,prompt_wis,0.050000000000000003,260,60,1,1
GSM8K,test,20260828,300,prompt_wis,0.01,360,60,1,1
GSM8K,test,20260828,300,prompt_wis,0.02,360,60,1,1
GSM8K,test,20260828,300,prompt_wis,0.050000000000000003,360,60,1,1
