dataset,gate_kind,tolerance,overlap_band,n_pair_seed_cases,accepted_count,accept_rate,false_accept_count,false_accept_rate_among_accepted,false_accept_fraction_all,accepted_mae,rejected_mae
SVAMP,kl_baseline,0.01,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,kl_baseline,0.01,low_overlap,9,3,0.3333333333333333,2,0.6666666666666666,0.2222222222222222,0.009520393286654225,0.012617258572126868
SVAMP,kl_baseline,0.01,medium_overlap,6,6,1.0,1,0.16666666666666666,0.16666666666666666,0.007024628010383467,
SVAMP,kl_baseline,0.02,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,kl_baseline,0.02,low_overlap,9,3,0.3333333333333333,0,0.0,0.0,0.009520393286654225,0.012617258572126868
SVAMP,kl_baseline,0.02,medium_overlap,6,6,1.0,0,0.0,0.0,0.007024628010383467,
SVAMP,kl_baseline,0.05,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,kl_baseline,0.05,low_overlap,9,3,0.3333333333333333,0,0.0,0.0,0.009520393286654225,0.012617258572126868
SVAMP,kl_baseline,0.05,medium_overlap,6,6,1.0,0,0.0,0.0,0.007024628010383467,
SVAMP,primary_ress,0.01,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,primary_ress,0.01,low_overlap,9,9,1.0,5,0.5555555555555556,0.5555555555555556,0.011584970143635987,
SVAMP,primary_ress,0.01,medium_overlap,6,6,1.0,1,0.16666666666666666,0.16666666666666666,0.007024628010383467,
SVAMP,primary_ress,0.02,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,primary_ress,0.02,low_overlap,9,9,1.0,1,0.1111111111111111,0.1111111111111111,0.011584970143635987,
SVAMP,primary_ress,0.02,medium_overlap,6,6,1.0,0,0.0,0.0,0.007024628010383467,
SVAMP,primary_ress,0.05,high_overlap,9,9,1.0,0,0.0,0.0,0.0026693072550583296,
SVAMP,primary_ress,0.05,low_overlap,9,9,1.0,0,0.0,0.0,0.011584970143635987,
SVAMP,primary_ress,0.05,medium_overlap,6,6,1.0,0,0.0,0.0,0.007024628010383467,
